LOCALITÀ DI INTERVENTO;"Attrattore
Tipo";"Attrattore
Nome";Municipio;"Posti
×
manuf";"Tot
manuf";"Tot
posti";Data di posa
Mattioli, Largo;Vari;;1;5;1;5;11/10/2012
Meda, Piazza – Angolo Catena;Vari;;1;5;3;15;08/11/2012
Meda, Piazza – Angolo Verri / Matteotti;Vari;;1;5;2;10;11/06/2015
Meda, Piazza – cv 4;Vari;;1;5;1;5;19/09/2015
Mercato, Via – cv 5 – Su musone, angolo Via Tivoli;Vari;;1;5;1;5;24/06/2015
Metastasio, Via;Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;6;30;28/12/2012
Mieli Renato, Sito – Presso Corso di Porta Romana 106;Vari;;1;5;2;10;18/09/2015
Milazzo, Via - Presso ingresso cinema Anteo;Cinema;Anteo;1;5;5;25;15/06/2015
Minghetti, Via – Angolo con Piazza Castello  (* 1 manufatto sostituito);Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;2;10;19/04/2012
Oberdan, Piazza – Presso ingressi stazione, lato civici pari;Stazione metropolitana;M1 Porta Venezia;1;5;2;10;01/02/2011
Paleocapa, Via – cv 6;Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;4;20;08/05/2012
Palermo, Via – cv 17 - Presso scuola dell'infanzia e nido d'infanzia;Nido e scuola dell'infanzia;Palermo 17;1;5;3;15;22/05/2012
Palermo, Via – cv 7-9 - Presso scuola primaria;Scuola Primaria;IC Giusti - D'Assisi - Scuola Primaria Ciceri-Visconti;1;5;3;15;22/05/2012
Palestro, Via –  ingresso MM;Stazione metropolitana;M1 Palestro;1;5;1;5;11/06/2015
Passarella, Via (tra Corso Vittorio Emanuele II e Via Beccaria);Vari;;1;5;2;5;09/11/2016
Pio XI, Piazza ;Vari;;1;3;3;9;01/02/2014
"Porta Nuova, Bastioni di – cv 4 – Scuola Primaria ""Bastioni di Porta Nuova - Alberto da Giussano""";Scuola Primaria;ICS Milano Spiga;1;5;5;25;2013
Porta Romana, Corso di – cv 80;Stazione metropolitana;M3 Crocetta;1;5;1;5;17/06/2015
Porta Vittoria, Corso di – Presso entrata Coin ***** ASSESSORE;Grande magazzino;;1;5;1;5;06/05/2015
Posta, Via della;Vari;;1;5;1;5;26/11/2012
Rivoli, Via – Su marciapiede lato aiuola;Teatro;Strehler;1;5;4;20;25/06/2015
Rivoli, Via – Su marciapiede lato case / ingresso M2 Lanza;Teatro;Strehler;1;5;2;10;25/06/2015
Ruffini , Via – cv 4;Scuola Primaria;Ruffini;1;5;2;10;14/05/2015
San Babila, Piazza – Presso ingressi della stazione;Stazione metropolitana;M1 San Babila;1;5;9;45;04/10/2012
San Barnaba, Via – Ang. Via della Commenda;Vari;;1;5;4;20;03/06/2016
San Barnaba, Via – Ang. Via Manara (Richiesto da Assessore Maran);Palazzo di Giustizia;;1;5;1;5;19/01/2013
San Barnaba, Via – cv 11 – Su marciapiede;Ospedale;;1;5;2;10;03/06/2016
San Barnaba, Via – Sul fianco della chiesa, dietro il tribunale;Vari;;1;5;3;15;21/06/2012
San Calimero, Via;Vari;;1;5;4;20;13/06/2015
