LOCALITÀ DI INTERVENTO;"Attrattore
Tipo";"Attrattore
Nome";Municipio;"Posti
×
manuf";"Tot
manuf";"Tot
posti";Data di posa
Settala, Via – cv 8 – Presso angolo con Viale Tunisia;Vari;;3;6;1;6;08/05/2015
Tadino, Via – cv 13 – Presso angolo con Viale Tunisia;Vari;;3;6;1;6;08/05/2015
Tajani, Via – cv 12 – Presso scuola d'infanzia Tajani e scuola primaria Bonetti;Scuola Primaria;IC Viale Romagna - Plesso Bonetti e Scuola dell'infanzia;3;6;3;18;01/02/2011
Teodosio, Via – cv 46;Pubblico esercizio;Erbolario;3;5;1;5;20/07/2016
Valvassori Peroni, Via – cv 56 – Presso Biblioteca Valvassori Peroni;Uffici e servizi pubblici - Biblioteca;Biblioteca Valvassori Peroni;3;5;2;10;2013
Venezian, Via – cv 1;Ospedale;Istituto Nazionale dei Tumori;3;5;3;15;28/07/2015
Vittorio Veneto, Viale – cv 2 – Presso Spazio Oberdan;Spazio Oberdan;;3;6;2;12;04/10/2011
Apulejo, Via – cv 6 (Viale Campania) –  Presso ingresso Liceo Donatelli-Pascal;Scuola Secondaria di Secondo Grado;;4;5;1;5;22/07/2015
Aquila, Via – cv. 81 – Presso Parco canile rifugio;Uffici e servizi pubblici - Canile e gattile;Parco Canile Rifugio;4;6;1;6;16/02/2015
Bacchiglione, Viale;Stazione metropolitana;M3 Brenta;4;5;3;15;05/05/2016
Campania, Viale – cv  12 – Presso Museo del Fumetto ***** ASSESSORE;Museo;Museo del Fumetto;4;5;2;10;15/03/2013
Carbonera, Via –  cv 8 e cv 4a;Residenze;;4;5;4;20;22/07/2015
Carbonera, Via – Presso ingresso est (Mugello) della stazione;Stazione ferroviaria;FS Porta Vittoria;4;5;4;20;30/06/2012
Cassinis, Via – Presso ingresso ovest della stazione;Stazione ferroviaria e metropolitana;FS Rogoredo;4;5;7;35;16/07/2012
Colletta, Via – cv 49;Scuola Primaria;Ottolini - Belgiojoso;4;5;2;10;28/04/2015
Corvetto, Piazzale – Presso ingressi stazione e UPIM;Stazione metropolitana;M3 Corvetto - Grande magazzino;4;5;2;10;2014
Cova, Via – cv 1 – Presso scuola d'infanzia;Scuola dell'Infanzia;Cova 1 – UE 24;4;5;1;5;05/05/2016
Dateo, Piazzale – Presso ingresso ovest della stazione;Stazione ferroviaria;FS Dateo;4;5;3;15;03/04/2012
Devoto, Via – cv 7 – Presso scuola d'infanzia;Scuola dell'Infanzia;Devoto 7 – UE 24;4;5;1;5;05/05/2016
hyfuèr;Scuola dell'Infanzia;;4;5;1;5;2013
Lodi, Corso – cv 1  e cv 2 – Presso stazione (solo stalli singoli dell'ordinananza);Stazione metropolitana;M3 Porta Romana;4;5;3;15;07/11/2012
Lodi, Corso – cv 132 – Presso ingressi stazione;Stazione metropolitana;M3 Corvetto;4;5;1;5;2014
Lodi, Corso – cv 51 – Presso ingressi stazione ferroviaria;Stazione ferroviaria;FS Porta Romana;4;5;3;15;22/07/2015
Lodi, Corso – cv 9 e cv 6-12  e fronte opposto cv 15-17 (su lato civici pari);Stazione metropolitana;M3 Porta Romana;4;5;4;20;22/07/2015
Lucania, Viale – Presso ingressi stazione;Stazione metropolitana;M3 Corvetto;4;5;2;10;23/07/2015
Maestri Campionesi, Via – cv 14 – Presso nido d'infanzia;Nido d'Infanzia;Maestri Campionesi – UE 24;4;5;1;5;12/05/2016
"Martinengo, Via – cv 36 – Presso scuola primaria ""Renzo Pezzani""";Scuola Primaria;IC Renzo Pezzani;4;5;2;10;2013
Medaglie d'Oro, Piazza – cv 3 – Imbocco Via Muratori;Stazione metropolitana;M3 Porta Romana;4;5;5;25;14/11/2012
Meleri, Via – cv 12 e cv 14;Scuola Primaria - Scuola dell'Infanzia;;4;5;4;20;12/05/2016
Mincio, Via – cv 21;Scuola Secondaria di Primo Grado;Scuola Secondaria Marcello Candia;4;5;3;15;24/05/2016
Mincio, Via – cv 23;PMZ - Polo Multifunzionale di Zona;Polo Ferrara;4;5;2;10;24/05/2016
"Mincio, Via – cv 23 – CAM Centro di Aggregazione Multifunzionale ""Polo Ferrara""";CAM - Centro di Aggregazione Multifunzionale;CAM Polo Ferrara;4;5;1;5;2013
Molise, Viale – Presso ingressi stazione vicini a fermata 90-91;Stazione ferroviaria;FS Porta Vittoria;4;5;10;50;01/06/2012
Monte Nero, Via - cv 74 - Angolo con Via Anfossi 2 (ingresso su via Monte Nero 74);Esercizio commerciale;Bio c' Bon;4;5;1;5;06/05/2016
"Monte Piana, Via – cv 11 – Presso Scuola Primaria ""Pasquale Sottocorno""";Scuola Primaria;ICS Pasquale Sottocorno;4;5;2;10;2013
"Monte Popera, Via – cv 12 – Presso Scuola Secondaria di Primo Grado ""Pasquale Sottocorno""";Scuola Secondaria di Primo Grado;ICS Pasquale Sottocorno;4;5;1;5;2013
Monte Velino, Via – cv 2 e 4;Scuola Primaria e Secondaria;IC Tommaso Grossi;4;5;2;10;28/04/2015
NVPR, Via – Collegamento  Via Carbonera / Viale Molise;Stazione ferroviaria;FS Porta Vittoria;4;5;4;20;14/11/2012
Oglio, Via – cv 18 – Presso il giardino del centro civico;Parco - Area Verde;Giardino del centro civico;4;5;2;10;2013
Oglio, Via – cv 20;Scuola Primaria;Scuola Primaria Pezzani;4;5;3;15;12/05/2016
Oglio, Via – cv 23;Scuola dell'Infanzia;Scuola dell'Infanzia;4;5;2;10;2013
Oglio, Via – cv 25;Scuola dell'Infanzia;;4;5;2;10;2013
Ongaro, Via dall' – Presso cv n° – Angolo Via Reina;Vari;;4;5;2;10;23/07/2015
Piceno, Viale – fronte cv 27;Stazione ferroviaria;FS Dateo;4;5;1;5;2013
Plebisciti, Corso – Presso ingresso est della stazione;Stazione ferroviaria;FS Dateo;4;5;3;15;03/04/2012
"Puglie, Viale – cv 4 – Scuola primaria ""Renzo Pezzani""";Scuola Primaria;IC Renzo Pezzani;4;5;2;10;2013
Rogoredo, Via – Presso ingresso est della stazione;Stazione ferroviaria e metropolitana;FS Rogoredo;4;5;6;30;13/07/2012
Sannio, Via – snc – Presso scale di accesso alla stazione ferroviaria;Stazione ferroviaria;FS Porta Romana;4;5;2;10;25/05/2016
Abbiategrasso, Piazza – Presso ingresso sud est stazione;Stazione metropolitana;M2 Abbiategrasso;5;5;3;15;13/03/2013
Anello, Parco – Presso Via dei Missaglia, presso area pavimentata;Parco;;5;5;1;5;26/05/2015
Antonini, Via – cv 50;Scuola primaria;Istituto Comprensivo Statale Elsa Morante;5;5;2;10;18/02/2016
Arcadia, Via dell' – cv 22 – Scuola primaria;Scuola Primaria;ICS Arcadia;5;5;2;10;23/07/2015
Arcadia, Via dell' – cv 24 – Scuola secondaria di primo grado;Scuola Secondaria di Primo Grado;ICS Arcadia;5;5;3;15;23/07/2015
Banfi, Via – cv 10 – Presso campo da basket del parco Basmetto;Parco;Basmetto - Campo da basket;5;5;1;5;22/03/2016
Banfi, Via – cv 2 – Presso campi giochi del Parco Basmetto;Parco;Basmetto - Area giochi;5;5;1;5;22/03/2016
Bazzi Carlo, Via – cv 18 – Presso Liceo Agnesi (Scienze Umane);Scuola Secondaria di Secondo Grado;Agnesi;5;5;4;20;23/11/2015
"Bocconi, Via – cv 17 – Scuola Primaria ""Barozzi""";Scuola Primaria;ICS Barozzi ;5;5;2;10;2013
Boifava, Via – cv 52;Scuola secondaria di primo grado;Pertini – Istituto Comprensivo Statale di Via Palmieri;5;5;3;15;18/02/2016
Brunacci, Via – cv 2/4;Scuola Primaria;;5;5;1;5;02/12/2015
Brunacci, Via – cv 2/4;Scuola primaria;Via Brunacci – Istituto Comprensivo Thouar-Gonzaga;5;5;3;15;28/11/2015
Brunacci, Via – cv 8;Scuola dell'infanzia;;5;5;1;5;25/07/2015
Calabiana, Via – Presso i campi gioco dell'area verde;Parco;Calabiana;5;5;1;5;23/03/2016
Campazzino, Via – Presso campi gioco del Parco Campazzino / Comisso;Parco;Campazzino / Comisso;5;5;2;10;04/05/2016
Chopin, Via – snc – Presso parco giochi;Parco;Val di Sole;5;5;1;5;23/03/2016
Col Moschin, Via – Ang. Col di Lana **** PL Schiavulli;Vari;;5;5;3;15;30/11/2015
Cuore immacolato di Maria, Via – cv 5;Oratorio;;5;5;1;5;30/11/2015
Donna Prassede, Via – Presso fontana/areagiochi Parco Donna Prassede;Parco;Donna Prassede;5;5;1;5;04/05/2016
Feraboli, via – cv 44 – Scuola Primaria;Scuola primaria;ICS Arcadia;5;5;3;15;24/07/2015
Fra' Cristoforo, Via – cv 10 (L.go Promessi Sposi);Vari;;5;5;5;25;24/07/2015
Fra' Cristoforo, Via – cv 6 – Presso biblioteca Fra' Cristoforo;Uffici e servizi pubblici - Biblioteca;Biblioteca Fra' Cristoforo;5;5;3;15;03/06/2016
Gallura, Via – cv 8;Centro sportivo;Forza e coraggio;5;5;4;20;15/02/2016
Gentilino, Via – cv 10-14;Scuola Primaria;Piolti de' Bianchi – Gaspara Stampa;5;5;6;30;13/05/2016
"Giambologna, Via – cv 30 – Scuola dell'Infanzia ""Giambologna""";Scuola dell'Infanzia;ICS Barozzi – Scuola Giambologna;5;5;3;15;2013
Giambologna, Via – Presso Parco della Resistenza (c/o campi di basket) - Ex Baravalle;Parco;Resistenza (ex Baravalle);5;5;2;10;23/03/2016
Guarneri, Via – cv 19;Nido e scuola dell'infanzia;Guarneri;5;5;3;15;19/02/2016
Guarneri, Via – cv 21;Scuola secondaria di primo grado;Toscanini – Istituto Comprensivo Statale Fabio Filzi;5;5;3;15;19/02/2016
Lodi, Corso – cv 2 – Presso stazione (solo area rettangolare lunga presso ascensore);Stazione metropolitana;M3 Porta Romana;5;5;3;15;31/07/2015
Lodi, Corso – Fronte cv 15-17 (collocazione su lato civici pari);Stazione metropolitana;M3 Porta Romana;5;5;1;5;22/07/2015
Lodi, Piazzale – Presso ingressi stazione lato nord Isonzo;Stazione metropolitana;M3 Lodi TIBB;5;5;6;30;2013
Madonna di Fatima, Piazzale – cv 1;Oratorio;Madonna di Fatima;5;5;1;5;2013
Missaglia dei, Via – Presso ingressi stazione - Lato ovest;Stazione metropolitana;M2 Abbiategrasso;5;5;1;5;12/03/2015
Naviglio Pavese, Alzaia – Presso campo di basket e fontana/areagiochi Parco Donna Prassede;Parco;Donna Prassede;5;5;1;5;04/05/2016
Ortles, Viale – cv 69 (Casa dell'accoglienza Enzo Jannacci);Uffici e servizi pubblici - Dormitorio;Casa dell'Accoglienza Enzo Jannacci;5;5;2;10;25/05/2016
Palmieri, Via – cv 24;Scuola primaria;Battisti – Istituto Comprensivo Statale di Via Palmieri;5;5;1;5;23/03/2016
Pescarenico, Via – cv 1;Scuola dell'infanzia;Pescarenico 1;5;5;1;5;27/07/2015
Pescarenico, Via – cv 2            ;Scuola Secondaria di Primo Grado;IC G. Capponi – A. Gemelli;5;5;3;15;28/04/2015
Pescarenico, Via – cv 6;Scuola Primaria;D. Moro;5;5;3;15;24/11/2015
"Romano Giulio, Via – cv 2 – Scuola primaria ""Giulio Romano""";Scuola Primaria;ICS Barozzi – Scuola Giulio Romano;5;5;1;5;2013
San Domenico Savio, Via – Presso il Parco Chiesa Rossa (casa acqua, campo basket, biblioteca);Parco;Chiesa Rossa;5;5;2;10;22/03/2016
San Domenico Savio, Via – Presso la Biblioteca Chiesa Rossa;Uffici e servizi pubblici - Biblioteca;Biblioteca Chiesa Rossa;5;5;1;5;22/03/2016
San Giacomo, Via – cv 1;Scuola primaria;Peroni – Istituto Comprensivo Statale di Via Palmieri;5;5;2;10;09/11/2016
Sant'Abbondio, Via – cv 12;Piscina;Sant'Abbondio;5;5;4;20;16/02/2016
Sanvenero Rosselli, Via / Selvanesco, Via – Presso campi gioco del Parco Terrazze Montagnetta;Parco;Terrazze Montagnetta (?);5;5;1;5;04/05/2016
Saponaro, Via – 22 – Presso Skatepark e area giochi;Parco;Skatepark;5;5;1;5;29/03/2016
Saponaro, Via – cv 36/A;Scuola Primaria;Scuola Baroni 73 – ICS Arcadia;5;5;2;10;24/07/2015
Solaroli, Via – cv 9 – Angolo Piazza Chiaradia;Scuola dell'Infanzia;;5;5;1;5;30/11/2015
Tabacchi, Via – cv 15/A – C/o scuola secondaria ;Scuola secondaria di primo grado;Via Tabacchi – Istituto Comprensivo Thouar-Gonzaga;5;5;3;15;30/11/2015
Toscana, Viale – cv 31;Pubblico esercizio;Santeria Social Club;5;5;4;20;10/08/2016
Verro, Via – cv 87 – Presso CAM Verro;CAM – Centro di Aggregazione Multifunzionale;Verro;5;5;1;5;22/03/2016
Verro, Via – Presso area giochi;Parco;Verro;5;5;1;5;04/05/2016
"Vittadini, Via – cv 10 – Scuola Secondaria di primo Grado ""Confalonieri""";Scuola Secondaria di Primo Grado;ICS Barozzi – Confalonieri;5;5;2;10;2013
Volvinio, Via;Vari;;5;5;1;5;23/07/2015
Wolf Ferrari, Via – cv 6;Scuola primaria;Wolf Ferrari – Istituto Comprensivo Statale Fabio Filzi;5;5;3;15;22/02/2016
Allodola, Via dell' – cv 5;Oratorio - Polisportiva;Oratorio Assisi - Polisportiva Assisi;6;2;4;8;2013
Allodola, Via dell' – cv 5;Oratorio - Polisportiva;Oratorio Assisi - Polisportiva Assisi;6;2;2;4;2014
"Anemoni, Via degli – cv 10 – Presso Scuola Secondaria di Primo Grado ""Anemoni""";Scuola Secondaria di Primo Grado;IC Narcisi;6;5;1;5;2013
Anemoni, Via degli – cv 8 – Presso il centro sportivo;Centro Sportivo;;6;5;1;5;2013
"Anemoni, Via degli – cv 8 – Presso Primaria ""Anemoni""";Scuola Primaria;IC Narcisi;6;5;1;5;2013
Argelati, Via – cv 25 – Nido d'Infanzia;Nido d'Infanzia;;6;6;1;6;28/07/2014
Ascari A., Largo – ;Stazione metropolitana;M2 Romolo;6;5;2;10;30/10/2015
Balsamo Crivelli, Via – cv 3 – Scuola Tre Castelli;Scuola Primaria e Secondaria;ILARIA ALPI - 3 CASTELLI;6;5;3;15;31/03/2015
Bande Nere, Piazza  – Presso ingressi stazione;Stazione metropolitana;M1 Bande Nere;6;5;2;10;30/10/2015
"Barona, Via – cv 70 – Scuola Primaria ""Ferraris""";Scuola Primaria;IC Sant'Ambrogio;6;5;1;5;2013
Bazzi, Piazza Giovanni Antonio - Angolo Via California;Vari;;6;5;1;5;11/11/2016
Bazzi, Piazza Giovanni Antonio - Fronte cv 2 ;Vari;;6;5;2;10;01/06/2015
Berlinguer, Piazza – NVPR tra Via Savona e Via Tolstoj;Vari;;6;5;5;25;21/05/2012
Bisceglie – Parcheggio ATM;Stazione metropolitana;M1 Bisceglie;6;5;3;15;29/08/2012
Cola di Rienzo, Via - cv 12;Vari;;6;5;2;10;01/06/2015
Cola di Rienzo, Via - Fronte cv 45;Vari;;6;5;1;5;01/06/2015
Cola di Rienzo, Via - Fronte cv 46;Vari;;6;5;2;10;01/06/2015
"Crollalanza, Via dei – cv 15 – Scuola dell'Infanzia ""Via dei Crollalanza""";Scuola dell'Infanzia;;6;5;2;10;2013
Famagosta, Viale – Presso ingressi stazione;Stazione metropolitana;M2 Famagosta;6;5;3;15;29/10/2015
Feltrinelli, Via – cv 16 – Presso case popolari;Residenze;Case popolari storiche;6;5;2;10;16/05/2016
"Foppette, Via delle – cv 1 – Scuola Primaria ""Foppette""";Scuola Primaria;;6;5;1;5;2013
Fusetti, Via – cv 12;Uffici e servizi pubblici - Consiglio Regionale;;6;5;2;10;20/07/2012
Kuliscioff, Via  – cv 33 e cv 35 ***** ASSESSORE;Vari;;6;5;6;30;06/05/2015
Legioni Romane, Via –  Primaticcio, Via;Stazione metropolitana;M1 Primaticcio;6;5;1;5;30/10/2015
Legioni Romane, Via –  Primaticcio, Via;Stazione metropolitana;M1 Primaticcio;6;5;2;10;09/08/2016
Liguria, Viale – uscite MM  Romolo;Stazione metropolitana;M2 Romolo;6;5;2;10;30/10/2015
Loria, Via – cv 37;Scuola Secondaria di Primo Grado;CARLO PORTA;6;5;3;15;26/03/2015
Martini Simone, Via – cv 10/1 – Scuola dell'Infanzia;Scuola dell'Infanzia;;6;5;1;5;2013
Martini Simone, Via – cv 10/2 – Presso Nido d'Infanzia;Scuola dell'infanzia;Martini 10/2;6;5;1;5;05/05/2016
"Montevideo, Via – cv 20 – Piscina di Milano Sport ""Solari""";Piscina;Piscina Comunale - Milano Sport - Solari;6;5;6;30;06/11/2015
"Narcisi, Via dei – cv 1 – Presso Scuola dell'Infanzia ""Narcisi""";Scuola dell'Infanzia;IC Narcisi;6;5;2;10;2013
"Narcisi, Via dei – cv 2 – Presso Scuola Primaria ""Narcisi""";Scuola Secondaria di Primo Grado;IC Narcisi;6;5;1;5;2013
Nuvolari Tazio, Largo;Stazione metropolitana;M2 Romolo;6;5;3;15;04/11/2015
Pestalozzi, Via – cv 13;Scuola Primaria;Scuola Capponi;6;5;3;15;26/03/2015
Romolo – Parcheggio ATM;Parcheggio ATM presso Metro;;6;5;3;15;22/08/2012
Salerno, Via – cv 1 e 3;Scuola Primaria e Secondaria;ILARIA ALPI - SALERNO;6;5;3;15;01/04/2015
San Colombano, Via – cv 8;Scuola Primaria e Secondaria;;6;5;2;10;15/04/2015
San Colombano, Via – cv 8/A;Scuola Primaria e Secondaria;;6;5;1;5;15/04/2015
Savona, Via – cv 30 – Presso Scuola dell'Infanzia;Scuola dell'infanzia;Savona 30;6;5;2;10;05/05/2016
Scrosati, Via – cv 3 – Scuola Primaria;Scuola Primaria;ICS Leone Tolstoj;6;5;1;5;2013
Solari, Via – cv 22 – Presso oratorio maschile;Oratorio;;6;5;2;10;06/11/2015
Solari, Via – cv 40 – Presso case popolari;Residenze;Case popolari storiche;6;5;2;10;16/05/2016
Stendhal, Via – cv 27 ang. Via Savona cv 61 (ingresso ad angolo con via Stendhal);Esercizio commerciale;Bio c' Bon;6;5;2;10;11/11/2016
Stendhal, Via - cv 57;Vari;;6;5;2;10;11/11/2016
Tolstoj Leone, Via – cv 17    ***** ASSESSORE;Farmacia;;6;5;1;5;06/05/2015
"Tosi Malaga, Via – cv 21 – Scuola Secondaria di Primo Grado ""Gramsci""";Scuola Secondaria di Primo Grado;;6;5;1;5;2013
Vespri Siciliani, Via – Presso ingresso della scuola;Scuola Primaria;;6;5;2;10;29/10/2015
Watt, Via – cv 39 – Presso Scuola dell'Infanzia;Scuola dell'infanzia;Watt 39;6;5;1;5;06/05/2016
Zuara, Via – cv 7/9 – Scuola Primaria;Scuola Primaria;ICS Leone Tolstoj;6;5;1;5;2013
Zurigo, Via;Stazione metropolitana;M1 Inganni;6;5;2;10;04/11/2015
"Airaghi, Via – cv 40 – Scuola dell'Infanzia ""Via Airaghi""";Scuola dell'Infanzia;IC L. Manara;7;5;1;5;2013
"Airaghi, Via – cv 42 – Scuola Primaria ""Carlo Poma""";Scuola Primaria;"IC L. Manara - Scuola ""Carlo Poma""";7;5;1;5;2013
Anselmo da Baggio, Via – cv 54;Uffici e servizi pubblici - Servizi sociali;;7;5;2;10;30/11/2015
Anselmo da Baggio, Via – cv 55;Uffici e servizi pubblici - CdZ 7 - Comando PL zona 7;;7;5;2;10;24/02/2015
Anselmo da Baggio, Via – cv 56;Nido e scuola dell'infanzia;;7;5;1;5;24/11/2015
"Arioli Venegoni, Via – cv 9 – Piscina di Milano Sport ""Arioli Venegoni""";Piscina;Piscina Comunale - Milano Sport - Arioli Venegoni;7;5;1;5;24/02/2015
Betulle, Via delle – cv 10;Ufficio Postale;;7;5;2;10;24/02/2015
Betulle, Via delle – cv 15;Nido d'Infanzia;Betulle 15;7;5;1;5;31/03/2015
Betulle, Via delle – cv 17;Scuola Secondaria di Primo Grado;Olmi;7;5;2;10;24/02/2015
Betulle, Via delle – cv 39;CAM - Centro di Aggregazione Multifunzionale;;7;5;3;15;24/02/2015
Brescia, Piazzale – Presso Istituto Auxologico;Ospedale;Istituto Auxologico;7;5;3;15;17/05/2013
Buonarroti, Via – Ang. Wagner-Marghera – Presso ingressi stazione;Stazione metropolitana;M1 Buonarroti;7;5;4;20;24/11/2015
Cabella, Via –  cv 42;Scuola dell'Infanzia;;7;5;1;5;31/03/2015
Cabella, Via – cv 18 – Oratorio di Sant'Apollinare;Oratorio;;7;5;2;10;30/11/2015
"Caio Mario, Via – cv 18 – Centro Socio Ricreativo ""Carlo Poma""";Centro Socio Ricreativo;CSR Carlo Poma;7;5;2;10;2013
Caldera, Via – cv 126 Fronte cv 115 – Presso Ufficio Postale;Ufficio Postale;;7;5;1;5;24/02/2015
"Caterina da Forlì, Viale – cv 14 – Scuola dell'Infanzia ""Viale Caterina da Forlì""";Scuola dell'Infanzia;;7;5;2;10;2013
Ceriani, Via – cv 3;Chiesa;;7;5;1;5;24/11/2015
Cherubini, Via – Fronte civici 8 e 3 – Su parterre centrale;Vari;;7;5;2;10;17/08/2016
Colonna, Via – cv 42;Scuola Secondaria di Primo Grado;Monteverdi – IC Novaro Ferrucci;7;5;3;15;10/04/2015
"Constant, Via – cv 19 – Scuola Secondaria di Primo Grado ""Benedetto Marcello""";Scuola Secondaria di Primo Grado;"IC L. Manara - Scuola ""Benedetto Marcello""";7;5;1;5;2013
"Crimea, Via – cv 20 – Scuola Secondaria di Primo Grado ""De Marchi Junior - Gulli """;Scuola Secondaria di Primo Grado;IC Francesca Saverio Cabrini - Scuola De Marchi Junior - Gulli;7;5;2;10;2013
De Sica, Via – cv 14 – Presso U. S. Quinto Romano scuola calcio;Centro Sportivo;U.S. Quinto Romano;7;5;1;5;24/02/2015
"De Vincenti, Via – cv 11 – ITIS Istituto Tecnico Industriale Statale ""Ettore Conti""";Scuola Secondaria di Secondo Grado;ITIS Conti;7;5;6;30;2013
Dolci, Via – cv 5;Scuola Primaria;IC Cadorna;7;5;3;15;09/04/2015
Don Gnocchi, Via – cv 25 – Presso Scuola Primaria ;Scuola Primaria;DD G.B. Perasso - C. Calasanzio;7;5;2;10;23/02/2016
Fleming, Via – cv 15;Centro Formazione;;7;5;1;5;24/02/2015
"Forze Armate, Via delle – cv 279 – Scuola Primaria ""Ercole Ferrario""";Scuola Primaria;Ercole Ferrario;7;5;2;10;24/02/2015
Forze Armate, Via delle – cv 318 – CAM;CAM - Centro di Aggregazione Multifunzionale;;7;5;1;5;31/03/2015
Gambara, Piazza – Presso ingressi stazione;Stazione metropolitana;M1 Gambara;7;5;7;35;14/12/2015
Gozzoli, Via – cv 51 ang. Via Bagarotti – Presso Ufficio Postale;Ufficio Postale;;7;5;2;10;24/02/2015
Lamennais, Via – cv 20;Scuola Primaria;;7;5;2;10;24/02/2015
"Lamennais, Via – cv 20 –  Piscina di Milano Sport ""Quarto Cagnino""";Piscina;Piscina Comunale - Milano Sport - Quarto Cagnino;7;5;2;10;24/02/2015
Lamennais, Via – cv 21;Nido d'Infanzia;Lamennais;7;5;1;5;14/12/2015
Lamennais, Via – cv 5 – Via Constant cv 19;Scuola Secondaria di Primo Grado;;7;5;2;10;24/02/2015
Lotto, Piazzale – Presso Gavirate, Via ed Elia, Via;Uffici;Volkswagen Financial Services;7;5;2;10;10/12/2015
Lucca, Via – Presso ingressi stazione;Stazione metropolitana;M1 Bisceglie;7;5;4;20;27/04/2012
Masaniello, Via – cv 23;Uffici e servizi pubblici - ASL;;7;5;2;10;24/02/2015
Massaua, Via – cv 13 – Nido d'Infanzia;Nido d'Infanzia;;7;5;1;5;2013
"Massaua, Via – cv 15 – Scuola dell'Infanzia ""Via Massaua""";Scuola dell'Infanzia;;7;5;1;5;2013
"Mauri, Via – cv 10 – Scuola Secondaria di Primo Grado ""Mauri""";Scuola Secondaria di Primo Grado;IC Pascoli;7;5;3;15;2013
Milesi, Via – cv 2 – Scuola dell'Infanzia Milesi + Giardino su lato opposto con giochi per bambini;Scuola dell'Infanzia;;7;5;2;10;24/11/2015
"Milesi, Via – cv 4 – Sc. Sec. 1° "" IQBAL MASIH""";Scuola Secondaria di Primo Grado;;7;5;2;10;24/02/2015
Monte Rosa, Via – Sul fianco della scala di accesso alla stazione M1 Buonarroti;Stazione metropolitana;M1 Buonarroti;7;5;2;10;24/11/2015
Mosca, Via – snc – Davanti alla chiesa Santa Marcellina presso Largo Don Saturnino;Chiesa;;7;5;1;5;24/02/2015
Muggiano, Via – cv 14 – Scuola Elementare Nicolò Tommaseo;Scuola Primaria;;7;5;2;10;24/02/2015
Olivieri, Via – cv 15 – Centro Kennedy – All'esterno, vicino all'ingresso;Centro Sportivo;;7;5;2;10;24/02/2015
Olivieri, Via – cv 15 – Centro Kennedy – All'interno del centro sportivo;Centro Sportivo;;7;5;2;10;24/02/2015
Osteno, Via – cv 2 – Centro anziani;Centro Anziani;;7;5;2;10;24/02/2015
Parri, Via – Banchina Bus – Area 1;Stazione metropolitana;M1 Bisceglie;7;5;2;10;27/04/2012
Parri, Via – Banchina Bus – Area 2;Stazione metropolitana;M1 Bisceglie;7;5;1;5;27/04/2012
Piemonte, Piazza ;Vari;;7;5;6;30;04/12/2015
Pio II, Via – cv 1  – Presso Ospedale San Carlo;Ospedale;San Carlo;7;5;3;15;24/02/2015
Pistoia, Via – cv 10 –  Biblioteca;Uffici e servizi pubblici - Biblioteca;Biblioteca Baggio;7;5;2;10;24/02/2015
Pistoia, Via – cv 30 –  Scuola secondaria di primo grado Primo Levi;Scuola Secondaria di Primo Grado;;7;5;1;5;24/02/2015
Pompeo Marchesi, Via – cv 60/62;Nido d'Infanzia;Pompeo Marchesi;7;5;2;10;27/11/2015
Rasori, Via – cv 19 - Presso Istituto Comprensivo Pascoli;Scuola primaria;IC Pascoli;7;5;4;20;02/12/2015
Ravizza, Via – cv 4 e 6;Vari;;7;5;3;15;14/11/2016
Romero, Via – Presso il Cimitero di Baggio;Cimitero;Baggio;7;5;2;10;15/11/2016
Roncaglia, Via – cv 12 – Zona Magenta;Vari;;7;5;2;10;19/12/2015
Sacco, Via – cv 14;Uffici e servizi pubblici - Biblioteca;Biblioteca Sicilia;7;5;2;10;16/12/2015
Salici dei, Via – cv 2 – Scuola primaria Bruno Munari;Scuola Primaria;;7;5;2;10;24/02/2015
San Giusto, Via – cv 65 – Civica Scuola Primaria di Educazione allo Sport e alla Musica;Scuola Primaria;Turconi;7;5;3;15;31/03/2015
Sant'Apollinare, Via – Presso ingresso mercato rionale;Mercato comunale;;7;5;2;10;24/02/2015
Sanzio, Via – cv 5 –  Scuola primaria – ASL;Scuola primaria;;7;5;2;10;03/12/2015
Sicilia, Piazza – cv 2– Scuola Primaria;Scuola Primaria;Novaro Ferrucci;7;5;3;15;09/08/2016
Soresina, Via – Angolo con Via Cantoni Giovanni fronte cv 7;Società per formazione;;7;5;2;10;15/11/2016
Ulivi, Via degli – cv 2;Centro Sportivo;AICS Olmi - Circolo ARCI;7;5;2;10;24/02/2015
Ulivi, Via degli – cv 6 – IPIA R.Luxemburg – Istituto Professionale;Scuola Secondaria di Secondo Grado;;7;5;2;10;02/12/2015
Ulivi, Via degli – cv 8 – Presso AICS OLMI, Centro Sportivo Sandro Pertini;Centro sportivo;AICS OLMI;7;5;4;20;03/12/2015
Val d'Intelvi, Via – cv 11 – Presso ingresso della scuola;Scuola Primaria;;7;5;2;10;24/02/2015
Valdagno, Via – cv 10;Scuola dell'Infanzia;;7;5;2;10;26/11/2015
Valdagno, Via – cv 8;Scuola Primaria;;7;5;2;10;24/02/2015
Valsesia, Via – cv 54 – Scuola dell'Infanzia Valsesia;Nido d'Infanzia;;7;5;2;10;27/11/2015
Viterbo, Via – cv 43;Scuola dell'Infanzia;;7;5;1;5;30/11/2015
Viterbo, Via – cv 7;Scuola dell'Infanzia;;7;5;1;5;26/11/2015
Wagner, Piazza – Fronte ingresso oratorio e Sala Wagner;Chiesa;;7;5;2;10;13/07/2016
Wagner, Piazza – Presso angolo con Via Pier Capponi;Vari;;7;5;3;15;13/07/2016
